2.9043,5.4766
3.926,7.3692
3.3376,3.3808
4.3979,3.9491
3.7469,4.8818
4.5748,3.3302
2.1654,5.9165
4.0514,7.0647
2.8803,6.2788
2.4601,6.5928
4.7558,5.5496
2.7717,2.1943
4.3101,6.6998
3.0053,6.9021
3.6694,6.8642
4.0981,7.5525
2.1849,6.9272
3.9091,5.6727
0.55687,4.3878
4.2925,5.2959
4.178,7.2368
3.9755,1.3672
0.45136,5.1446
6.6395,3.2923
5.4847,7.1461
4.9729,5.1705
5.7245,3.8895
3.205,5.0153
3.8443,5.6976
1.5618,6.0085
3.3356,4.644
4.683,7.2372
4.7752,6.475
2.8848,7.5852
3.0624,6.9088
4.3467,5.4126
3.8006,5.1147
5.1679,10.858
4.8441,5.3062
1.3618,4.3668
6.4229,5.368
3.904,2.943
2.4089,5.5119
3.1452,5.7558
2.3446,5.9456
6.6819,6.2798
2.7139,6.2417
1.8571,3.1349
3.9301,4.8121
1.663,6.8341
2.9178,7.542
7.0448,2.5038
3.2288,5.0944
4.6218,3.492
4.8254,5.1311
5.1143,4.5813
-0.59118,4.229
4.9812,9.2692
0.60308,2.7661
2.6382,5.3493
2.1855,4.2277
5.0284,7.8848
4.3415,6.0269
4.5508,5.146
2.8007,5.0209
6.3715,6.777
3.9556,3.9459
5.7774,6.2378
4.0227,4.8076
3.2012,4.1667
0.19287,7.4149
4.3482,2.235
4.235,2.5028
4.4204,6.0988
3.7469,4.6059
6.0792,5.378
5.1039,7.0467
1.878,4.6547
5.5333,3.6961
4.5956,4.6034
4.6377,2.3815
3.1679,4.3253
3.3487,4.7275
1.5884,4.1599
4.3447,2.5839
3.2994,5.0187
4.9904,5.7122
2.8808,7.3858
2.1622,3.8124
6.6081,6.4473
4.3191,4.7654
7.0048,6.879
0.84287,5.3025
3.6518,3.3165
6.141,3.1861
4.3366,4.8557
5.3816,9.4509
2.4045,4.9931
6.3511,7.9762
4.3215,9.958
4.6781,4.2293
4.7544,6.4936
4.6684,3.4868
4.2421,3.2418
3.4323,3.5088
3.9281,6.601
0.69051,6.7225
2.7896,5.7592
4.4466,2.7335
3.625,4.0758
3.6673,3.2217
4.532,4.8308
2.5698,6.5038
2.285,4.1272
5.1575,8.8171
3.7672,6.313
6.5488,5.7244
3.183,6.5246
5.0316,2.6467
1.9322,4.8339
4.375,6.9608
3.0595,6.828
5.7291,3.2225
4.6009,5.1354
3.6019,4.6256
3.3752,4.5928
3.9027,7.1628
3.2494,6.0034
5.6239,8.4468
2.3898,3.7282
2.4724,7.6759
5.8412,6.1642
4.1464,5.429
6.4449,6.169
4.0898,4.9487
3.6692,6.5218
3.0604,0.83127
2.3813,3.7509
7.919,7.3562
2.4015,5.3121
8.2755,4.5713
6.9123,3.122
1.6049,6.6042
3.3002,3.8681
6.9507,3.1307
4.3874,1.0847
4.6673,5.5079
3.1825,4.9177
2.7437,4.5207
2.4476,6.0798
2.4945,4.2393
3.6995,4.4957
3.5001,7.1689
